Best trial: 431. Best value: 0.0288038: 100%
 1000/1000 [7:52:59<00:00, 29.78s/it]
[I 2025-08-01 09:18:27,617] Trial 0 finished with value: 0.030710942287058507 and parameters: {'min_abs_corr': 0.04058131129049943, 'max_pair_corr': 0.9855642875768924, 'iterations': 1545, 'learning_rate': 0.030405325392865647, 'depth': 4, 'l2_leaf_reg': 2.403950683025824, 'subsample': 0.5290418060840998, 'rsm': 0.9197056874649611, 'bagging_temperature': 0.6011150117432088}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:18:38,619] Trial 1 finished with value: 0.03246840486048289 and parameters: {'min_abs_corr': 0.07226689489062432, 'max_pair_corr': 0.9018526044866222, 'iterations': 1949, 'learning_rate': 0.11536162338241392, 'depth': 4, 'l2_leaf_reg': 2.636424704863906, 'subsample': 0.5917022549267169, 'rsm': 0.5825453457757226, 'bagging_temperature': 0.5247564316322378}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:18:54,609] Trial 2 finished with value: 0.04416342154655185 and parameters: {'min_abs_corr': 0.046034776771001, 'max_pair_corr': 0.9262106226178238, 'iterations': 1340, 'learning_rate': 0.0022158645374549917, 'depth': 5, 'l2_leaf_reg': 4.297256589643226, 'subsample': 0.728034992108518, 'rsm': 0.8711055768358081, 'bagging_temperature': 0.19967378215835974}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:18:58,286] Trial 3 finished with value: 0.033555914776814064 and parameters: {'min_abs_corr': 0.0538522716492931, 'max_pair_corr': 0.9533173111975838, 'iterations': 379, 'learning_rate': 0.03198617182203562, 'depth': 4, 'l2_leaf_reg': 1.5854643368675156, 'subsample': 0.9744427686266666, 'rsm': 0.9793792198447356, 'bagging_temperature': 0.8083973481164611}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:19:06,308] Trial 4 finished with value: 0.03520069410163303 and parameters: {'min_abs_corr': 0.03393830807147021, 'max_pair_corr': 0.9087904902605746, 'iterations': 1463, 'learning_rate': 0.012311503632415646, 'depth': 3, 'l2_leaf_reg': 5.456592191001432, 'subsample': 0.5171942605576092, 'rsm': 0.9455922412472693, 'bagging_temperature': 0.2587799816000169}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:19:15,257] Trial 5 finished with value: 0.032191662169991676 and parameters: {'min_abs_corr': 0.06793961701362829, 'max_pair_corr': 0.928053996848047, 'iterations': 1184, 'learning_rate': 0.02260828676373495, 'depth': 4, 'l2_leaf_reg': 9.726261649881026, 'subsample': 0.8875664116805573, 'rsm': 0.9636993649385135, 'bagging_temperature': 0.8948273504276488}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:19:17,969] Trial 6 finished with value: 0.06541634320698593 and parameters: {'min_abs_corr': 0.06180049798705309, 'max_pair_corr': 0.9829686811520805, 'iterations': 450, 'learning_rate': 0.0030582523213789677, 'depth': 3, 'l2_leaf_reg': 3.927972976869379, 'subsample': 0.6943386448447411, 'rsm': 0.5628094190643376, 'bagging_temperature': 0.8287375091519293}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:21:24,031] Trial 7 finished with value: 0.04110071284332332 and parameters: {'min_abs_corr': 0.03889156603589098, 'max_pair_corr': 0.9252841058718643, 'iterations': 1223, 'learning_rate': 0.0022340165853190056, 'depth': 9, 'l2_leaf_reg': 1.6709557931179373, 'subsample': 0.9934434683002586, 'rsm': 0.8633468615779945, 'bagging_temperature': 0.1987156815341724}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:23:44,066] Trial 8 finished with value: 0.03367611502318 and parameters: {'min_abs_corr': 0.005524601126742228, 'max_pair_corr': 0.973391528560935, 'iterations': 1502, 'learning_rate': 0.06394979414183315, 'depth': 9, 'l2_leaf_reg': 1.6664018656068134, 'subsample': 0.6792328642721364, 'rsm': 0.4695214357150779, 'bagging_temperature': 0.8631034258755935}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:23:49,188] Trial 9 finished with value: 0.047122292285368815 and parameters: {'min_abs_corr': 0.064213322048618, 'max_pair_corr': 0.9297808222367384, 'iterations': 408, 'learning_rate': 0.005893060761114622, 'depth': 5, 'l2_leaf_reg': 7.566455605042576, 'subsample': 0.8187787356776066, 'rsm': 0.932327645545796, 'bagging_temperature': 0.4722149251619493}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:24:12,836] Trial 10 finished with value: 0.03434617046554953 and parameters: {'min_abs_corr': 0.09478797170188676, 'max_pair_corr': 0.9615875461333189, 'iterations': 823, 'learning_rate': 0.20389013879996032, 'depth': 7, 'l2_leaf_reg': 7.212223662122305, 'subsample': 0.5075721185513784, 'rsm': 0.7740259111776793, 'bagging_temperature': 0.5705478648816832}. Best is trial 0 with value: 0.030710942287058507.
[I 2025-08-01 09:25:03,808] Trial 11 finished with value: 0.03136938505337983 and parameters: {'min_abs_corr': 0.0837292818934479, 'max_pair_corr': 0.9409148011370054, 'iterations': 1779, 'learning_rate': 0.022048474574021502, 'depth': 7, 'l2_leaf_reg': 9.621785574168793, 'subsample': 0.8545872489236955, 'rsm': 0.7470524387818742, 'bagging_temperature': 0.9984343511458478}. Best is trial 0 with value: 0.030710942287058507.
