Best trial: 815. Best value: 0.0300953: 100%
 1000/1000 [2:01:27<00:00,  7.88s/it]
[I 2025-08-03 12:06:19,490] Trial 0 finished with value: 0.03138738338312033 and parameters: {'min_abs_corr': 0.0061510513553420096, 'max_pair_corr': 1.0725554584569548, 'n_estimators': 1179, 'learning_rate': 0.00984176998863578, 'max_depth': 0, 'num_leaves': 215, 'min_child_samples': 5, 'min_child_weight': 0.02208809131462238, 'subsample': 0.621898718866286, 'colsample_bytree': 0.4363876298111502, 'reg_alpha': 0.0020093429244821886, 'reg_lambda': 0.09811132112835613}. Best is trial 0 with value: 0.03138738338312033.
[I 2025-08-03 12:06:20,279] Trial 1 finished with value: 0.046579289346988136 and parameters: {'min_abs_corr': 0.006728866258820515, 'max_pair_corr': 0.9272628780625138, 'n_estimators': 518, 'learning_rate': 0.00905490199484081, 'max_depth': 2, 'num_leaves': 253, 'min_child_samples': 6, 'min_child_weight': 0.01968119464493369, 'subsample': 0.6232078200437167, 'colsample_bytree': 0.38874606663605793, 'reg_alpha': 0.00213004799595708, 'reg_lambda': 0.08728575103398736}. Best is trial 0 with value: 0.03138738338312033.
[I 2025-08-03 12:06:23,825] Trial 2 finished with value: 0.032013509920220146 and parameters: {'min_abs_corr': 0.006253931704391545, 'max_pair_corr': 1.0399819193663047, 'n_estimators': 539, 'learning_rate': 0.009676440723324133, 'max_depth': 6, 'num_leaves': 204, 'min_child_samples': 6, 'min_child_weight': 0.019210204720043873, 'subsample': 0.5565449378617067, 'colsample_bytree': 0.45656549696557563, 'reg_alpha': 0.002429404663786147, 'reg_lambda': 0.0952143437413535}. Best is trial 0 with value: 0.03138738338312033.
[I 2025-08-03 12:06:38,428] Trial 3 finished with value: 0.03160018082980692 and parameters: {'min_abs_corr': 0.0060628131713391185, 'max_pair_corr': 0.9046994659532653, 'n_estimators': 1121, 'learning_rate': 0.00953365399510427, 'max_depth': 0, 'num_leaves': 250, 'min_child_samples': 5, 'min_child_weight': 0.022280155550725926, 'subsample': 0.5801631931667098, 'colsample_bytree': 0.43257094248672046, 'reg_alpha': 0.002138745026797455, 'reg_lambda': 0.0900427098478224}. Best is trial 0 with value: 0.03138738338312033.
[I 2025-08-03 12:06:47,231] Trial 4 finished with value: 0.03164064996337056 and parameters: {'min_abs_corr': 0.006368308260249438, 'max_pair_corr': 0.9218546296659281, 'n_estimators': 1464, 'learning_rate': 0.010196543600359317, 'max_depth': 10, 'num_leaves': 290, 'min_child_samples': 6, 'min_child_weight': 0.022336354172985146, 'subsample': 0.5594027192063823, 'colsample_bytree': 0.3934793151120183, 'reg_alpha': 0.0020202963366042423, 'reg_lambda': 0.08654978718612545}. Best is trial 0 with value: 0.03138738338312033.
[I 2025-08-03 12:06:49,516] Trial 5 finished with value: 0.03793583807786019 and parameters: {'min_abs_corr': 0.00616889067182089, 'max_pair_corr': 0.9388744594840152, 'n_estimators': 1295, 'learning_rate': 0.00937542866980225, 'max_depth': 2, 'num_leaves': 254, 'min_child_samples': 5, 'min_child_weight': 0.021806320636111567, 'subsample': 0.5577030077040354, 'colsample_bytree': 0.4597496577741875, 'reg_alpha': 0.0023434464584595085, 'reg_lambda': 0.08427875697798416}. Best is trial 0 with value: 0.03138738338312033.
[I 2025-08-03 12:06:57,403] Trial 6 finished with value: 0.03134162790274364 and parameters: {'min_abs_corr': 0.005685397442499609, 'max_pair_corr': 1.0459412929792042, 'n_estimators': 1148, 'learning_rate': 0.01010259915502068, 'max_depth': 8, 'num_leaves': 207, 'min_child_samples': 6, 'min_child_weight': 0.01900066472231603, 'subsample': 0.6538388454330583, 'colsample_bytree': 0.42928432601227434, 'reg_alpha': 0.0021472733840902924, 'reg_lambda': 0.08185450051172859}. Best is trial 6 with value: 0.03134162790274364.
[I 2025-08-03 12:07:05,459] Trial 7 finished with value: 0.031314116733705204 and parameters: {'min_abs_corr': 0.006070849476875998, 'max_pair_corr': 0.949467614549022, 'n_estimators': 1176, 'learning_rate': 0.009918894351548708, 'max_depth': 9, 'num_leaves': 247, 'min_child_samples': 5, 'min_child_weight': 0.021420529115862078, 'subsample': 0.6413647750411587, 'colsample_bytree': 0.42408755390256925, 'reg_alpha': 0.0023428785860730565, 'reg_lambda': 0.08957147314057186}. Best is trial 7 with value: 0.031314116733705204.
[I 2025-08-03 12:07:09,904] Trial 8 finished with value: 0.03394841099109157 and parameters: {'min_abs_corr': 0.006338051759638897, 'max_pair_corr': 0.9696088840678905, 'n_estimators': 330, 'learning_rate': 0.008918725053043744, 'max_depth': -1, 'num_leaves': 264, 'min_child_samples': 5, 'min_child_weight': 0.020558565638106405, 'subsample': 0.6592595255306134, 'colsample_bytree': 0.3979461399971209, 'reg_alpha': 0.0021826034211615357, 'reg_lambda': 0.09426646496857552}. Best is trial 7 with value: 0.031314116733705204.
[I 2025-08-03 12:07:15,144] Trial 9 finished with value: 0.03191018931765135 and parameters: {'min_abs_corr': 0.005967143495756889, 'max_pair_corr': 0.9006277910698318, 'n_estimators': 647, 'learning_rate': 0.009014683476243282, 'max_depth': 10, 'num_leaves': 281, 'min_child_samples': 6, 'min_child_weight': 0.022111526682175146, 'subsample': 0.6465933158372971, 'colsample_bytree': 0.39269061046892173, 'reg_alpha': 0.002396924619402895, 'reg_lambda': 0.09038842290551778}. Best is trial 7 with value: 0.031314116733705204.
[I 2025-08-03 12:07:19,653] Trial 10 finished with value: 0.031206695317438214 and parameters: {'min_abs_corr': 0.006659203901061056, 'max_pair_corr': 0.995447172504562, 'n_estimators': 897, 'learning_rate': 0.010523235412028568, 'max_depth': 6, 'num_leaves': 230, 'min_child_samples': 7, 'min_child_weight': 0.020978951579100787, 'subsample': 0.5933716562041745, 'colsample_bytree': 0.4088650644541713, 'reg_alpha': 0.002301668655199866, 'reg_lambda': 0.09321905572075126}. Best is trial 10 with value: 0.031206695317438214.
